timestamp,api_source,run_number,hardware_platform,hardware_model,cloud_platform,chaos_strategy,chaos_level,drift_type,original_field,mutated_field,metadata
2026-05-20T17:47:22.806197Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,alue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:22.954426Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 165.13860761943496, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:23.229544Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vaule,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:25.413285Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 165.5377258968278, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:25.658855Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 185.16620382869013, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:25.903776Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:30.521380Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metaadta,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:30.646301Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicla,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:31.075525Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,cranonical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:31.227575Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:32.342409Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:34.295869Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 196.2501883572106, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:34.749782Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 172.08981483527793, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:34.913250Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicval,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:35.310763Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:36.122874Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:36.226057Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vlue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:36.553002Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,bmetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:37.521248Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pruice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:38.637795Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pricke"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:40.050033Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,valu,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:40.314424Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""zprice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:40.442806Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonwical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:40.579410Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""cprice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:44.084787Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicval,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:44.663147Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:44.664075Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:44.797971Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,caonical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:45.956302Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:46.097641Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rpice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:46.657258Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canoical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:47.382940Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:47.821864Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 166.0189104575954, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:48.248251Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 196.38514732916144, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:48.527714Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 164.60173965043197, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:49.602006Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,mvetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:49.761264Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""sprice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:50.440268Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prnice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:51.770712Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pric"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:52.202802Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:52.736104Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prihce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:53.788311Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 198.28044808999283, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:53.951605Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metaadta,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:54.217512Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonincal,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:54.218585Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:54.483919Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 180.17495272674256, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:54.623647Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pritce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:56.129890Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,alue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:56.371895Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metaata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:59.296765Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:59.592162Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,magnitude,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:00.671059Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:01.159206Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:02.196940Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 188.01167275458607, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:02.605355Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:02.733079Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:05.556752Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 183.82458207387103, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:05.677235Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prrice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:07.056502Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prie"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:07.184610Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,magnitude,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:07.816529Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,pmetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:09.363805Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 183.92000009267556, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:09.502677Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 193.61158390189675, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:10.641925Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vaule,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:10.643340Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 195.06582626454468, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:10.644333Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:10.767233Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 169.1507902806668, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:11.184461Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 167.54991598320643, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:11.430452Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,meadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:11.559483Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,measure,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:11.560788Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 183.09077964450915, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:13.810112Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:13.817551Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,avlue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:14.328736Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,reading,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:16.304687Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rprice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:18.306886Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,mebtadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:18.439542Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,qvalue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:18.567242Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicl,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:18.568563Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,fvalue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:18.831108Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pirce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:19.347468Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""primce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:19.777705Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 173.7800279752018, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:21.068073Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 179.78841030350617, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:21.480234Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""price"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:22.059948Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 187.44396808754146, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:22.471079Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vaulue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:22.611295Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:23.177550Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 176.33635385592294, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:23.607571Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 194.17515680397597, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:48:24.482516Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,metadawta,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
